Title,Date,Price,Rooms,Neighborhood,URL
Cabo San Lucas - Spring Break - Playa Grande,Feb 16,$875,"
                    1br -
                ","Cabo San Lucas, Mexico",https://seattle.craigslist.org/see/vac/d/bainbridge-island-cabo-san-lucas-spring/7076772023.html
"LINCOLN CITY Vacation Cottages~Best Beach, 7 miles of Sandy Shore!",Feb 16,$0,,OPEN for the Newport Seafood & Wine Festival FEB 20/23rd~HOT,https://seattle.craigslist.org/see/vac/d/gleneden-beach-lincoln-city-vacation/7073506626.html
Whistler/ Blackcomb,Feb 16,$2000,"
                    1br -
                ",Canada,https://seattle.craigslist.org/see/vac/d/mercer-island-whistler-blackcomb/7075013787.html
Waterfront~whale watch~hottub king bed fireplace! Amazing Views!,Feb 16,$0,"
                    3br -
                ",Open Spring Break~call to reserve online,https://seattle.craigslist.org/see/vac/d/waterfrontwhale-watchhottub-king-bed/7076752997.html
Luxury Monthly Vacation Rental~Spectacular Ocean Views~king bed,Feb 16,$0,"
                    2br -
                ",Lincoln City ~ OPEN 9am - 10pm,https://seattle.craigslist.org/see/vac/d/neotsu-luxury-monthly-vacation/7076754276.html
FAMILY cottage-hottub-king beds-PING PONG-bikes~OPEN dates,Feb 16,$0,"
                    3br -
                    1600ft, -
                ",Open Spring Break~CALL 9am-10pm Beach it!,https://seattle.craigslist.org/see/vac/d/family-cottage-hottub-king-beds-ping/7068678734.html
Spring Break on the COAST~7 miles of Sandy Shore~HOTTUBS!,Feb 16,$0,,Beach Time~OPEN 9am - 10pm call and view site,https://seattle.craigslist.org/see/vac/d/spring-break-on-the-coast7-miles-of/7075313239.html
3br - 3 bedroom 2 bathroom apartment in Ballard-utilities/WIFI,Feb 16,$225,"
                    3br -
                ","Ballard, Seattle",https://seattle.craigslist.org/see/vac/d/seattle-3br-3-bedroom-2-bathroom/7076710576.html
"The Waves House! HTub~Lovely Sea Vu~Wifi~Comp Wine~50"" Smart TV~Dogs",Feb 16,$0,"
                    2br -
                ",Waldport,https://seattle.craigslist.org/oly/vac/d/waldport-the-waves-house-htublovely-sea/7067180121.html
Jagger's River Haus - Hot Tub - Waterfront - Walking Distance to To To,Feb 16,$250,"
                    5br -
                ","Leavenworth, WA",https://seattle.craigslist.org/see/vac/d/leavenworth-jaggers-river-haus-hot-tub/7076695706.html
Beautiful Resort Spring Break Week in Palm Springs - Worldmark Indio,Feb 16,$0,,,https://seattle.craigslist.org/see/vac/d/indio-beautiful-resort-spring-break/7076685569.html
"Timeshare (good till 2040) for Sale Cabo, Pueblo Bonito Sunset",Feb 16,$5995,,"Cabo San Lucas, Mexico",https://seattle.craigslist.org/est/vac/d/timeshare-good-till-2040-for-sale-cabo/7074150843.html
Vacation by weeks no maintenance ever-Gold Crown Resorts + any resorts,Feb 16,$20,"
                    3br -
                    3500ft, -
                ",Everett,https://seattle.craigslist.org/sno/vac/d/vacation-by-weeks-no-maintenance-ever/7076661046.html
Ground hog said spring is coming early!!  More time for fun!!,Feb 16,$0,,,https://seattle.craigslist.org/see/vac/d/liberty-lake-ground-hog-said-spring-is/7076649250.html
Vacation by weeks no maintenance ever-Gold Crown Resorts + any resorts,Feb 16,$20,"
                    3br -
                    3500ft, -
                ",Everett,https://seattle.craigslist.org/sno/vac/d/vacation-by-weeks-no-maintenance-ever/7076639127.html
Vacation by weeks no maintenance ever-Gold Crown Resorts + any resorts,Feb 16,$20,"
                    3br -
                    3500ft, -
                ",Everett,https://seattle.craigslist.org/sno/vac/d/vacation-by-weeks-no-maintenance-ever/7066004370.html
"Kauai, Hawaii   4th of July week",Feb 16,$1250,"
                    1br -
                ",Kapaa,https://seattle.craigslist.org/see/vac/d/kealia-kauai-hawaii-4th-of-july-week/7072317995.html
Thanksgiving on Maui,Feb 16,$1200,"
                    1br -
                ",Lahaina HI,https://seattle.craigslist.org/see/vac/d/lahaina-thanksgiving-on-maui/7072304413.html
Kauai HI spring break April 18-25,Feb 16,$1500,"
                    2br -
                    1400ft, -
                ",Kapaa Kauai,https://seattle.craigslist.org/see/vac/d/kealia-kauai-hi-spring-break-april-18-25/7072304121.html
"Traveling nurses, OT, PT short term stay",Feb 16,$80,"
                    2br -
                ",Between Sequim and Pt Townsend,https://seattle.craigslist.org/kit/vac/d/carlsborg-traveling-nurses-ot-pt-short/7063589378.html
SWAP time in Water View vac rental for Your Vacation Rental,Feb 16,$69,"
                    2br -
                ","Discovery Bay, Sequim, WA",https://seattle.craigslist.org/kit/vac/d/port-townsend-swap-time-in-water-view/7063584935.html
Sequim Vacation  Rental - Water View - Picnic Area-Beach Access,Feb 16,$69,"
                    2br -
                ",Sequim - Discovery Bay  - Olympic Peninsula,https://seattle.craigslist.org/kit/vac/d/sequim-vacation-rental-water-view/7063590329.html
